Id,Sample #,Time,parent,voltage [V],temp [C],light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
10,,9/24/2015 12:33:01 AM,0,2.8527,15.271,687,1.4807,1.0401,0.80591,0.80591,0.83379
13,,9/24/2015 12:33:01 AM,0,3.0471,27.947,4,0.43189,0.48551,0.48253,0.49742,0.51827
11,,9/24/2015 12:33:02 AM,0,3.0323,29.223,0,1.5058,0.76179,0.5543,0.57505,0.61951
24,,9/24/2015 12:33:05 AM,20,2.9537,29.052,456,0.68717,0.46774,0.46196,0.47928,0.58611
53,,9/24/2015 12:33:08 AM,24,2.9192,21.573,730,1.1386,0.60496,0.49367,0.51079,0.76191
40,,9/24/2015 12:33:14 AM,24,2.7707,32.625,759,1.1673,0.69335,0.55793,0.63647,0.72314
3,,9/24/2015 12:33:19 AM,0,2.9961,28.371,668,1.148,0.70289,0.56524,0.50666,0.52717
20,,9/24/2015 12:33:24 AM,0,2.9537,29.052,497,0.79688,0.59477,0.50816,0.69005,0.85463
10,,9/24/2015 12:34:00 AM,0,2.8527,15.519,690,1.5114,1.0541,0.80591,0.80591,0.831
13,,9/24/2015 12:34:00 AM,0,3.0545,27.947,1,0.42996,0.48371,0.48072,0.49565,0.51655
11,,9/24/2015 12:34:01 AM,0,3.0471,29.137,0,1.4982,0.76252,0.55402,0.57487,0.61359
24,,9/24/2015 12:34:04 AM,20,2.9537,29.052,394,0.59766,0.45619,0.46196,0.47928,0.58323
53,,9/24/2015 12:34:06 AM,24,2.9192,21.41,728,1.1414,0.60496,0.49938,0.50794,0.76477
40,,9/24/2015 12:34:14 AM,24,2.7768,32.625,758,1.1726,0.68946,0.55645,0.63517,0.72475
3,,9/24/2015 12:34:18 AM,0,2.9961,28.371,666,1.1393,0.6941,0.55938,0.50666,0.52717
20,,9/24/2015 12:34:23 AM,0,2.9537,29.052,495,0.79688,0.59766,0.50816,0.69583,0.85463
54,,9/24/2015 12:34:35 AM,24,2.4037,-273.15,913,1.3346,1.0268,0.60152,0.96573,1.0997
10,,9/24/2015 12:34:58 AM,0,2.8593,15.354,683,1.4394,1.0202,0.78818,0.79936,0.82731
11,,9/24/2015 12:34:59 AM,0,3.0471,29.137,0,1.4952,0.75954,0.55104,0.57487,0.62252
