Id,Sample #,Time,parent,voltage [V],temp,light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
20,,9/24/2015 8:18:10 AM,0,2.9398,29.308,68,0.45117,0.56324,0.59773,1.0058,1.1092
54,,9/24/2015 8:18:22 AM,0,2.3946,-273.15,371,0.56645,0.81691,0.77478,0.81691,0.86138
255,,9/24/2015 8:18:26 AM,0,2.9261,29.738,526,1.1985,1.27,1.1241,0.91529,0.76655
10,,9/24/2015 8:18:45 AM,0,2.8398,29.566,347,0.65235,0.55241,0.46081,0.51355,0.54964
11,,9/24/2015 8:18:46 AM,0,3.0323,27.105,610,1.2479,0.66397,0.52169,0.54837,0.57505
13,,9/24/2015 8:18:46 AM,0,3.0397,25.685,757,1.2123,0.62993,0.49622,0.50216,0.51701
24,,9/24/2015 8:18:50 AM,10,2.9398,29.308,143,0.42531,0.43393,0.45117,0.47416,0.51439
53,,9/24/2015 8:18:53 AM,24,2.8593,24.526,5,0.43042,0.43042,0.46117,0.52266,0.70713
40,,9/24/2015 8:18:59 AM,20,2.7707,31.915,226,0.65002,0.54439,0.57689,0.66627,0.7421
3,,9/24/2015 8:19:04 AM,0,2.9889,29.652,381,1.0547,1.0284,1.0197,0.63109,0.54928
20,,9/24/2015 8:19:08 AM,0,2.9261,29.308,81,0.45192,0.55775,0.59208,0.99823,1.1041
54,,9/24/2015 8:19:21 AM,0,2.3946,-273.15,399,0.5922,0.82861,0.7818,0.81925,0.86138
255,,9/24/2015 8:19:25 AM,0,2.9261,29.738,549,1.2471,1.2986,1.1412,0.93817,0.76941
13,,9/24/2015 8:19:45 AM,0,3.0397,25.685,792,1.2658,0.65667,0.50216,0.49622,0.51701
11,,9/24/2015 8:19:45 AM,0,3.0323,27.105,653,1.3072,0.69065,0.52762,0.54837,0.57505
10,,9/24/2015 8:19:46 AM,0,2.8398,29.566,366,0.68011,0.55519,0.46081,0.51355,0.54964
24,,9/24/2015 8:19:48 AM,10,2.9398,29.308,155,0.43105,0.43393,0.45117,0.47416,0.51439
53,,9/24/2015 8:19:52 AM,24,2.8593,23.703,7,0.42763,0.42204,0.45278,0.51427,0.70433
40,,9/24/2015 8:19:59 AM,20,2.7707,31.915,226,0.63647,0.54168,0.57147,0.66356,0.74752
3,,9/24/2015 8:20:02 AM,0,2.9889,29.652,395,1.0898,1.0547,1.046,0.64278,0.5522
20,,9/24/2015 8:20:08 AM,0,2.9261,29.308,68,0.45478,0.56347,0.5978,0.99823,1.0983
54,,9/24/2015 8:20:19 AM,0,2.39,-273.15,396,0.5864,0.8247,0.77797,0.81535,0.8574
255,,9/24/2015 8:20:23 AM,0,2.9261,29.738,533,1.2328,1.2928,1.1412,0.94103,0.78371
10,,9/24/2015 8:20:43 AM,0,2.8398,29.566,423,0.76894,0.56907,0.46081,0.51355,0.54964
11,,9/24/2015 8:20:44 AM,0,3.025,27.105,720,1.4105,0.75108,0.53817,0.54704,0.55296
13,,9/24/2015 8:20:45 AM,0,3.0397,25.685,847,1.3549,0.70421,0.5081,0.49919,0.49919
24,,9/24/2015 8:20:46 AM,10,2.9398,29.308,294,0.5029,0.44542,0.45404,0.47703,0.52014
53,,9/24/2015 8:20:49 AM,24,2.8527,23.538,15,0.44618,0.42944,0.4657,0.51868,0.6609
40,,9/24/2015 8:20:56 AM,20,2.7707,31.827,229,0.60939,0.52814,0.56064,0.65814,0.7421
3,,9/24/2015 8:21:01 AM,0,2.9889,29.652,429,1.1745,1.1278,1.1044,0.67199,0.55805
